indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
1105,EREÑOZU,,1,215,266,64,28.000,1139.000,52,52,36,1018,20040,586038,4788616,586038,4788616,-15625,431441,-15630,431437,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",585932,4788406,A900
1163,LEMONA (IBAIZABAL),,1,251,472,62,69.000,1157.000,51,51,8,1065,48055,520014,4784559,520014,4784559,-24513,431246,-24518,431242,,519908,4784351,A145
1186,GURIEZO,,1,112,146,36,17.000,1003.000,51,51,0,1076,39030,473403,4800447,473403,4800447,-31941,432120,-31947,432116,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",473297,4800239,A700
1196,COTERILLO,,1,485,512,60,16.000,1640.000,52,52,30,1084,39002,464745,4797767,464745,4797767,-32605,431952,-32610,431948,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",464639,4797560,A701
1268,PUENTELLES,,1,643,1184,56,56.000,2536.000,51,51,30,1128,33047,369784,4797493,369784,4797493,-43621,431906,-43626,431902,,369677,4797288,A078
1276,MIER,,1,455,496,56,62.000,2648.000,52,52,25,1131,33046,363482,4797361,363482,4797361,-44100,431857,-44105,431853,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",363375,4797156,A080
1295,CANGAS DE ONIS,,1,486,1246,31,58.000,2596.000,89,89,2,1140,33012,327313,4802165,327313,4802165,-50751,432106,-50756,432102,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",327205,4801960,A602
1302,OZANES,,1,486,509,31,33.000,,46,46,17,1143,33045,323115,4804112,323106,4804091,-51059,432205,-51104,432201,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",322998,4803886,A604
1303,VILLAMAYOR,,1,379,509,30,96.000,1551.000,50,50,20,1143,33049,314614,4804618,314614,4804618,-51718,432215,-51722,432211,,314506,4804413,A073
1335,"CONDADO, EL",,1,343,4866,54,366.000,2104.000,59,59,25,1150,33032,298035,4789767,298035,4789767,-52914,431358,-52919,431354,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",297926,4789562,A605
1343,SAN CUCAO,,1,314,382,28,121.000,793.000,50,50,11,1173,33035,265898,4811514,265898,4811514,-55330,432509,-55335,432505,,265789,4811309,A064
1353,CORIAS,,1,531,1850,50,352.000,2007.000,95,106,16,1183,33011,699538,4785395,211993,4788569,-63240,431139,-63245,431135,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",211883,4788364,A606
1358,PTE. SAN MARTIN,,1,403,405,27,93.000,2194.000,94,94,17,1192,33005,726751,4803016,240410,4804197,-61209,432042,-61214,432038,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",240300,4803992,A068
1378,GRADO,,1,210,214,28,56.000,1454.000,53,53,16,1175,33026,737726,4808327,251740,4808706,-60354,432322,-60359,432318,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",251631,4808501,A608
1395,TREVIAS,,1,411,467,12,35.000,1291.000,51,51,30,1200,33034,707379,4819933,222300,4822470,-62606,433010,-62611,433006,,222190,4822266,A609
1427,SAN TIRSO DE ABRES,,1,712,819,25,21.000,1111.000,98,108,30,1244,33063,650387,4808608,164597,4815273,-70833,432452,-70838,432448,,164486,4815068,A048
2005,OSMA,,1,900,1035,377,890.000,1335.000,74,74,43,2060,42043,493125,4602860,493125,4602860,-30457,413436,-30502,413432,,493016,4602652,
2009,RIAZA,,1,36,1082,432,1139.000,2036.000,96,106,60,2088,40170,460580,4570580,460580,4570580,-32815,411706,-32819,411702,,460472,4570372,
2012,SEPULVEDA,,1,480,1450,431,920.000,2262.000,71,77,37,2106,40195,438350,4572605,438350,4572605,-34411,411807,-34416,411802,,438241,4572398,
2013,ARANDA DE DUERO,,1,7356,97620,375,790.000,2315.000,48,48,35,2067,9018,443439,4611795,443439,4611795,-34045,413919,-34050,413914,,443331,4611587,
2015,HERRERA DE DUERO,,1,12740,97620,372,690.000,2315.000,98,108,61,2111,47175,361160,4603018,361160,4603018,-43954,413358,-43959,413354,,361051,4602811,
2016,PAJARES DE PEDRAZA,,1,280,2525,457,938.000,2209.000,98,108,53,2112,40019,428405,4557885,428405,4557885,-35112,411006,-35117,411002,,428296,4557678,
2028,SALAS DE LOS INFANTES,,1,349,5380,277,958.000,2131.000,63,63,37,2161,9330,477119,4653831,477119,4653831,-31635,420208,-31640,420204,,477011,4653623,
2029,CORDOVILLA,,1,4227,15828,274,740.000,2139.000,98,108,47,2156,34063,396833,4665232,396833,4665232,-41454,420754,-41458,420750,,396725,4665025,
2030,COVARRUBIAS,,1,1200,5380,277,881.000,2131.000,97,107,48,2165,9113,458015,4656096,458015,4656096,-33027,420318,-33031,420314,,457907,4655889,
2031,PERAL DE ARLANZA,,1,2413,5380,275,770.000,2131.000,99,109,48,2169,9262,410823,4659303,410823,4659303,-40441,420448,-40446,420444,,410715,4659096,
2034,BESANDE,,1,32,73,105,1270.000,1820.000,60,60,16,2196,24020,346172,4751298,346172,4751298,-45303,425353,-45308,425349,,346064,4751092,
2035,OTERO DE GUARDO,,1,72,73,106,1127.000,1820.000,60,60,29,2196,34199,348948,4743768,348948,4743768,-45053,424951,-45058,424947,,348840,4743562,
2036,QUINTANA DEL PUENTE,,1,5256,5380,274,740.000,2131.000,97,107,45,2193,34084,397462,4656950,397462,4656950,-41421,420326,-41426,420322,,397354,4656743,
2042,PALENCIA,,1,2222,3407,273,740.000,2497.000,98,108,44,2203,34079,371126,4655182,371126,4655183,-43325,420215,-43330,420210,,371018,4654976,
2043,CABEZON DE PISUERGA,,1,14283,15828,343,698.000,2139.000,80,90,60,2206,47027,363795,4622535,363795,4622535,-43817,414432,-43821,414428,,363687,4622328,
2046,AVILA,,1,770,5275,531,1066.000,2297.000,96,106,38,2214,5019,355772,4501495,355772,4501495,-44221,403904,-44226,403859,,355663,4501288,
2050,SEGOVIA,,1,252,2968,483,900.000,2430.000,87,97,40,2219,40194,403507,4534119,403507,4534119,-40852,405702,-40847,405707,DATOS MODIFICADOS 2014-15 (ANUARIO 15-16)                                                           ,403398,4533912,
2051,"ESPINAR, EL",,1,35,2193,508,1260.000,2139.000,68,68,48,2222,40076,402557,4511890,402557,4511890,-40915,404505,-40920,404501,,402448,4511683,
2052,GUIJAS ALBAS,,1,252,695,507,940.000,2193.000,61,61,42,2222,40211,391920,4519759,391920,4519759,-41654,404916,-41658,404911,,391811,4519552,
2053,BERNARDOS,,1,1438,2968,456,782.000,2430.000,57,57,30,2227,40030,387275,4557134,387275,4557134,-42036,410925,-42041,410921,,387166,4556927,
2054,SAN MIGUEL DEL PINO,,1,36570,97620,371,670.000,2815.000,91,101,40,2231,47146,338985,4596727,338985,4596727,-45545,413019,-45550,413015,,338876,4596520,
2057,VILLOVELA DE PIRON,,1,172,1020,457,869.000,2200.000,49,49,32,2113,40075,405705,4552136,405705,4552136,-40723,410652,-40728,410647,,405596,4551929,
2060,CEBRONES DEL RIO,,1,3192,5039,231,754.000,2417.000,49,49,31,2303,24053,266703,4681447,266703,4681447,-54940,421459,-54945,421454,,266593,4681240,
2062,TORO-DUERO,,1,41808,97620,370,637.000,2315.000,98,108,36,2247,49219,298767,4598960,298767,4598960,-52441,413059,-52446,413054,,298658,4598753,
2068,CALDAS DE NOCEDO,,1,154,296,104,1094.000,2067.000,65,65,31,2266,24177,304140,4752480,304140,4752480,-52356,425357,-52401,425353,,304031,4752275,
2074,CASTROPEPE,,1,6783,16081,308,703.000,2408.000,93,103,43,2284,49257,281660,4650491,281660,4650491,-53807,415832,-53812,415827,,281551,4650284,
2082,MORALES DEL REY,,1,650,657,270,724.000,2188.000,79,87,44,2308,49128,271646,4660092,271646,4660092,-54535,420332,-54540,420328,,271536,4659885,
2089,MORLA DE LA VALDERIA,,1,280,657,230,965.000,2188.000,79,79,33,2308,24047,726887,4678357,231680,4679817,-61504,421325,-61509,421321,,231570,4679610,
2097,VALLADOLID-PISUERGA,,1,15638,15828,372,690.000,2139.000,51,51,31,2210,47186,355877,4613814,355877,4613814,-44352,413944,-44357,413940,,355769,4613607,
2101,MOLINOS DE DUERO,,1,135,97620,317,1100.000,2315.000,90,100,41,2003,42117,517868,4637657,517868,4637657,-24705,415324,-24709,415320,,517760,4637449,
2104,VILLAVERDE DE ARCAYOS,,1,355,1997,163,878.000,1763.000,57,57,31,2281,24004,332900,4720100,332900,4720100,-50214,423652,-50219,423648,,332791,4719894,
2109,SALIDA EMBALSE DE ARLANZON,,1,107,2659,239,1107.000,2131.000,96,106,43,2170,9463,472105,4679982,472105,4679982,-32018,421615,-32022,421611,,471998,4679774,
2116,CELADA DEL CAMINO,,1,1702,2659,237,805.000,2131.000,44,44,32,2188,9125,423560,4678740,423560,4678740,-35536,421523,-35541,421519,,423452,4678533,
2126,VILLARDIGA,,1,1462,3558,341,672.000,1100.000,44,44,28,2250,49035,292444,4627724,292444,4627724,-52950,414625,-52955,414620,,292335,4627518,
2132,QUINTANILLA DE ONESIMO,,1,12093,97620,373,721.000,2315.000,45,45,32,2111,47129,386697,4609626,386697,4609626,-42137,413747,-42141,413742,,386589,4609419,
2818,RABAL,,1,719,3310,303,366.000,,51,50,14,2388,32053,630019,4634370,131881,4642697,-72602,415059,-72607,415055,,131770,4642490,
9002,CASTEJON,,1,25194,85001,242,265.000,2886.000,87,89,58,9241,31070,607902,4670804,607902,4670804,-14136,421052,-14141,421048,DATOS MODIFICADOS DE 1996-97 A 2006-07 (ANUARIO 15-16)                                              ,607794,4670595,A002
9003,ANDOSILLA,,1,1445,1461,205,304.000,1438.000,96,107,43,9152,31015,586644,4692055,586644,4692055,-15652,422231,-15656,422227,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,586537,4691846,A003
9004,FUNES,,1,2759,2759,244,284.000,1494.000,95,105,27,9231,31107,598895,4685633,598895,4685633,-14760,421857,-14804,421853,DATOS MODIFICADOS DE 1980-81 A 2018-19 (ANUARIO 19-20)                                              ,598788,4685424,A004
9005,CAPARROSO,,1,5469,8521,206,302.000,2886.000,98,108,41,9210,31065,611264,4688981,611264,4688981,-13857,422040,-13902,422036,DATOS MODIFICADOS DE 1965-66 A 1984-85 RESPECTO A PUBLICADOS                                        ,611157,4688772,A005
9011,ZARAGOZA,,1,40434,85001,383,201.000,2886.000,98,109,63,9289,50297,676533,4614247,676533,4614247,-5247,413935,-5252,413931,DATOS MODIFICADOS DE 1996-97 A 2006-07 (ANUARIO 15-16)                                              ,676425,4614038,A011
9013,GRAUS,,1,893,1532,250,450.000,3404.000,78,82,55,9589,22117,280944,4676145,776290,4678160,2048,421222,2043,421218,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,776182,4677949,A013
9018,JACA,,1,238,8521,176,793.000,2886.000,80,90,54,9166,22130,700812,4717118,700812,4717118,-3311,423447,-3316,423443,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,700705,4716908,A018
9021,PUIGCERDA,,1,311,22579,217,1120.000,2909.000,81,86,42,9383,17141,905987,4708819,905987,4708819,15604,422529,15559,422525,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,905879,4708608,A021
9022,SEO DE URGEL,,1,559,562,215,697.000,2865.000,94,103,49,9424,25203,372704,4691171,866845,4699632,12715,422142,12711,422138,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,866737,4699421,A022
9023,SEO DE URGEL,,1,1233,22579,215,670.000,2921.000,93,93,46,9401,25203,867444,4698760,867444,4698760,12739,422113,12735,422109,"LOS DATOS DE 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",867336,4698549,A023
9027,TORTOSA,,1,84230,85001,522,25.000,3404.000,90,95,52,9662,43155,290895,4521074,796985,4524084,3115,404848,3111,404844,DATOS MODIFICADOS 2011-12 Y 2012-13 (ANUARIO 13-14). DATOS DE 2011-12 PENDIENTES DE REVISION        ,796876,4523874,A027
9032,PERALTA DE ALCOFEA,,1,362,362,325,310.000,2077.000,75,80,28,9618,22124,738321,4643896,738321,4643896,-736,415437,-741,415433,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,738213,4643686,A032
9033,PERALTA DE ALCOFEA,,1,765,3385,325,310.000,2077.000,76,81,28,9615,22124,738512,4644293,738512,4644293,-727,415450,-732,415446,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,738404,4644083,A033
9038,TORREMONTALVO,,1,1090,1100,203,420.000,2202.000,73,78,48,9124,26046,526066,4705363,526066,4705363,-24058,422958,-24103,422954,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,525959,4705155,A038
9040,BOLTAÑA,,1,626,718,211,680.000,3355.000,77,77,24,9561,22066,317354,4700803,753305,4703010,4646,422614,4642,422610,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,753198,4702800,A040
9041,NAVARRETE DEL RIO,,1,364,465,491,904.000,1496.000,77,88,17,9276,44050,646619,4532671,646619,4532671,-11531,405553,-11536,405549,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,646510,4532462,A041
9043,SAN PEDRO MANRIQUE,,1,105,365,280,1060.000,1709.000,69,72,27,9237,42165,564440,4652433,564440,4652433,-21318,420114,-21323,420110,,564332,4652224,A043
9044,YANGUAS,,1,223,692,280,940.000,1792.000,76,85,56,9158,42218,555320,4661829,555320,4661829,-21951,420621,-21956,420617,,555212,4661621,A044
9046,LECINA,,1,110,372,249,630.000,1441.000,72,80,40,9599,22051,255951,4678475,751189,4678726,236,421311,231,421307,,751082,4678516,
9047,CAPELLA,,1,426,446,250,485.000,2728.000,76,81,46,9594,22080,780464,4677088,780464,4677088,2348,421142,2343,421138,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,780356,4676877,A047
9049,DEBANOS,,1,150,318,319,920.000,1719.000,72,82,30,9239,42075,587585,4639991,587585,4639991,-15639,415423,-15643,415419,,587477,4639782,
9050,CUZCURRITA,,1,698,1243,169,526.000,2085.000,75,85,52,9090,26056,499936,4708206,499936,4708206,-30003,423132,-30008,423128,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,499829,4707998,A050
9052,BECEITE,,1,48,1727,521,580.000,1339.000,76,86,49,9629,44037,768746,4524361,768746,4524361,1112,404932,1108,404928,LOS DATOS DE 2009-10 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,768637,4524151,A052
9059,STA. EULALIA DE GALLEGO,,1,1901,4009,247,427.000,3151.000,77,80,54,9322,50185,685574,4682553,685574,4682553,-4459,421621,-4504,421617,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,685467,4682343,A059
9062,BINIES,,1,161,271,176,650.000,2366.000,79,88,45,9177,22076,681570,4725183,681570,4725183,-4705,423925,-4710,423921,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,681463,4724973,A062
9063,SIGÜES,,1,506,526,175,595.000,2100.000,74,85,52,9185,50245,663062,4723515,663062,4723515,-10039,423846,-10044,423842,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,662955,4723305,A063
9064,ASPURZ,,1,396,533,143,547.000,1656.000,78,84,48,9202,31181,650754,4730933,650754,4730933,-10933,424255,-10937,424251,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,650647,4730723,A064
9065,LIEDENA,,1,1546,1561,174,412.000,2021.000,80,90,57,9203,31155,639935,4720646,639935,4720646,-11737,423729,-11742,423725,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,639828,4720436,A065
9071,ESTELLA,,1,943,1461,140,425.000,1438.000,80,88,58,9150,31097,579105,4724962,579105,4724962,-20205,424020,-20209,424016,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,578998,4724753,A071
9073,SANGÜESA,,1,275,279,174,393.000,1517.000,75,78,49,9205,31216,643344,4712744,643344,4712744,-11515,423311,-11519,423307,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,643237,4712534,A073
9074,ARCE,,1,1357,1358,172,455.000,1442.000,75,84,45,9076,9219,508565,4725201,508565,4725201,-25344,424043,-25349,424038,DATOS MODIFICADOS 1996-97 A 2012-13 (ANUARIO 13-14)                                                 ,508458,4724993,A074
9078,GARINOAIN,,1,47,55,173,495.000,1030.000,72,81,32,9208,31114,611419,4717013,611419,4717013,-13831,423548,-13836,423544,LOS DATOS DE 2009-10 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,611312,4716804,A078
9079,URROZ,,1,180,214,142,483.000,1279.000,78,88,55,9196,31243,630461,4736765,630461,4736765,-12419,424618,-12424,424614,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,630354,4736555,A079
